标记,学校编号,学校名称,所属学院,专业名称,专业代码,研究方向,培养类型,计划人数,距离最后更新时间已过分钟
B,10214,哈尔滨理工大学,自动化学院,(专业学位)电子信息,085400,控制工程,全日制,0,139,
 ,10560,汕头大学,工学院,(专业学位)电子信息,085400,宽带通信技术及应用(信息工程),全日制,0,9,
 ,83113,西安电子工程研究所（206所）,不区分院系所,武器系统与运用工程,082601,火控雷达系统的电子对抗与信息融合技术,全日制,0,6961,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,不区分研究方向,全日制,0,369,不符合调入专业初试科目要求
 ,82817,中国工程物理研究院,电子工程研究所,物理电子学,080901,特种电真空技术,全日制,0,10338,
211,10589,海南大学,生物医学工程学院,信息与通信工程,081000,不区分研究方向,全日制,19,349,
 ,10259,上海应用技术大学,机械工程学院,(专业学位)电子信息,085400,智能计算与大数据技术,非全日制,0,294,
C-,11232,北京信息科技大学,仪器科学与光电工程学院,(专业学位)电子信息,085400,不区分研究方向,全日制,0,1579,
C+,10621,成都信息工程大学,资源环境学院,环境科学与工程,083000,大气环境及其污染控制,全日制,0,139,
C-,11232,北京信息科技大学,自动化学院,控制科学与工程,081100,不区分研究方向,全日制,0,139,
 ,10192,吉林化工学院,信息与控制工程学院,(专业学位)电子信息,085400,通信网络系统的建模、仿真及优化控制,全日制,0,259,
985,10358,中国科学技术大学,物理学院,(专业学位)电子信息,085400,不区分研究方向,全日制,0,229,
 ,10695,西藏民族大学,信息工程学院,(专业学位)电子信息,085400,不区分研究方向,全日制,0,273,
 ,10065,天津师范大学,电子与通信工程学院、人工智能学院,(专业学位)电子信息,085400,无线网络,全日制,0,379,
C+,10621,成都信息工程大学,资源环境学院,3S集成与气象应用,0706Z3,不区分研究方向,全日制,0,139,不符合调入专业学科门类要求
 ,86201,中国舰船研究院,724所,信号与信息处理,081002,先进信号检测与处理技术,全日制,0,10354,
 ,82817,中国工程物理研究院,电子工程研究所,物理电子学,080901,微纳米机电系统技术,全日制,0,10338,
 ,10192,吉林化工学院,理学院,(专业学位)电子信息,085400,人工智能技术与应用,全日制,0,259,
 ,83000,中国电子科技集团公司电子科学研究院,华北计算技术研究所,计算机软件与理论,081202,不区分研究方向,全日制,0,266,不符合调入专业初试科目要求
985,10141,大连理工大学,（主校区）电子信息与电气工程学部,(专业学位)电子信息,085400,数据工程与智能计算,非全日制,11,244,
